"hostname";"ip";"mac";"cn";"dc";"controller"
"AI-001";"192.168.1.1";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-002";"192.168.1.2";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-003";"192.168.1.3";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-004";"192.168.1.4";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-005";"192.168.1.5";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-006";"192.168.1.6";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-007";"192.168.1.7";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-008";"192.168.1.8";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-009";"192.168.1.9";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-010";"192.168.1.10";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-011";"192.168.1.11";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-012";"192.168.1.12";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-013";"192.168.1.13";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-014";"192.168.1.14";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-015";"192.168.1.15";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-016";"192.168.1.16";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-017";"192.168.1.17";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-018";"192.168.1.18";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-019";"192.168.1.19";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-020";"192.168.1.20";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
